facility_name,name_url,county,epa_class_simple,srn,violation_count,most_recent_vn
BEACON PARK FINISHING LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B3000' target='_blank'>BEACON PARK FINISHING LLC</a>,Macomb,True Minor ,B3000,4.0,2023-05-31
"D & D AMALGAMATED SERVICES, INC.","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P1032' target='_blank'>D & D AMALGAMATED SERVICES, INC.</a>",Kalamazoo,True Minor ,P1032,4.0,2022-06-10
STANDARD COATING INC.,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2363' target='_blank'>STANDARD COATING INC.</a>,Oakland,Major ,B2363,4.0,2022-09-07
"AGCO, INC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N5101' target='_blank'>AGCO, INC</a>",Mecosta,Major ,N5101,4.0,2022-10-06
GRANGER WOOD STREET LANDFILL,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N5997' target='_blank'>GRANGER WOOD STREET LANDFILL</a>,Clinton,Major ,N5997,4.0,2022-10-06
DETROIT THERMAL  BEACON HEATING PLANT,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2814' target='_blank'>DETROIT THERMAL  BEACON HEATING PLANT</a>,Wayne,Major ,B2814,4.0,2018-05-18
ST. CLAIR / BELLE RIVER POWER PLANT,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2796' target='_blank'>ST. CLAIR / BELLE RIVER POWER PLANT</a>,Saint Clair,Major ,B2796,4.0,2023-02-07
MARTINREA BISHOP CIRCLE,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B3658' target='_blank'>MARTINREA BISHOP CIRCLE</a>,Washtenaw,Synthetic Minor ,B3658,4.0,2022-05-03
"INDUSTRIAL CONTAINER SERVICES - MI, LLC","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1715' target='_blank'>INDUSTRIAL CONTAINER SERVICES - MI, LLC</a>",Kent,Synthetic Minor ,B1715,4.0,2022-05-03
FCA US LLC WARREN TRUCK ASSEMBLY PLANT,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2767' target='_blank'>FCA US LLC WARREN TRUCK ASSEMBLY PLANT</a>,Macomb,Major ,B2767,4.0,2022-10-21
YPSILANTI COMM. UTILITIES AUTHORITY,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B6237' target='_blank'>YPSILANTI COMM. UTILITIES AUTHORITY</a>,Washtenaw,True Minor ,B6237,4.0,2022-02-01
"METAL TECHNOLOGIES, INC. THREE RIVERS GRAY IRON","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B2015' target='_blank'>METAL TECHNOLOGIES, INC. THREE RIVERS GRAY IRON</a>",Saint Joseph,Major ,B2015,4.0,2021-10-18
WORTHEN COATED FABRICS,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=P0634' target='_blank'>WORTHEN COATED FABRICS</a>,Kent,Major ,P0634,4.0,2023-03-01
GM LLC SAGINAW METAL CASTING OPERATIONS,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B1991' target='_blank'>GM LLC SAGINAW METAL CASTING OPERATIONS</a>,Saginaw,Major ,B1991,4.0,2022-01-07
TEMPERFORM LLC,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B7357' target='_blank'>TEMPERFORM LLC</a>,Oakland,Synthetic Minor ,B7357,4.0,2023-04-18
COMFORT RESEARCH,<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=N1916' target='_blank'>COMFORT RESEARCH</a>,Kent,Synthetic Minor ,N1916,4.0,2022-08-02
"LEAR CORPORATION, FARWELL PLANT","<a href='https://planet-detroit.github.io/air-permit-violation-dashboard/?srn=B7294' target='_blank'>LEAR CORPORATION, FARWELL PLANT</a>",Clare,Major ,B7294,4.0,2021-04-05
